cart_position,cart_velocity,pole_angle,pole_angular_velocity,action,reward
0.03729616478085518,0.028159087523818016,-0.015222267247736454,0.006835577078163624,1.0,1.0
0.037859346717596054,0.22349600493907928,-0.015085555613040924,-0.29061102867126465,0.0,1.0
0.04232926666736603,0.028592370450496674,-0.020897775888442993,-0.002723823534324765,0.0,1.0
0.042901113629341125,-0.16622373461723328,-0.02095225267112255,0.2832930386066437,1.0,1.0
0.039576638489961624,0.02919069305062294,-0.015286391600966454,-0.015923788771033287,0.0,1.0
0.04016045480966568,-0.1657087355852127,-0.015604867599904537,0.27189716696739197,1.0,1.0
0.036846280097961426,0.02963237091898918,-0.010166924446821213,-0.025666456669569016,0.0,1.0
0.037438925355672836,-0.165342316031456,-0.010680253617465496,0.26379144191741943,1.0,1.0
0.03413207828998566,0.029930442571640015,-0.005404424853622913,-0.03224093094468117,0.0,1.0
0.034730687737464905,-0.16511359810829163,-0.006049243733286858,0.2587319612503052,1.0,1.0
0.031428415328264236,0.030094193294644356,-0.0008746044477447867,-0.035852834582328796,1.0,1.0
0.03203029930591583,0.2252286821603775,-0.001591661130078137,-0.3288115859031677,0.0,1.0
0.0365348756313324,0.03012941963970661,-0.008167892694473267,-0.036631014198064804,0.0,1.0
0.0371374636888504,-0.16487444937229156,-0.00890051294118166,0.2534637153148651,1.0,1.0
0.03383997455239296,0.03037344664335251,-0.003831238951534033,-0.0420132577419281,0.0,1.0
0.03444744274020195,-0.16469335556030273,-0.004671504255384207,0.2494584172964096,1.0,1.0
0.031153574585914612,0.030494993552565575,0.00031766429310664535,-0.044694334268569946,1.0,1.0
0.0317634753882885,0.22561238706111908,-0.0005762223736383021,-0.33727702498435974,0.0,1.0
0.036275722086429596,0.030498642474412918,-0.007321762852370739,-0.04477585479617119,0.0,1.0
0.03688569739460945,-0.16451755166053772,-0.00821727979928255,0.245588019490242,1.0,1.0
0.03359534591436386,0.03072078712284565,-0.0033055192325264215,-0.049675460904836655,0.0,1.0
0.03420976176857948,-0.164353609085083,-0.0042990283109247684,0.2419627159833908,1.0,1.0
0.03092268854379654,0.03082948550581932,0.0005402258248068392,-0.05207313224673271,0.0,1.0
0.031539276242256165,-0.16430020332336426,-0.0005012367619201541,0.24078018963336945,1.0,1.0
0.02825327403843403,0.030828900635242462,0.004314367193728685,-0.052060794085264206,1.0,1.0
0.028869852423667908,0.22588872909545898,0.0032731511164456606,-0.3433793783187866,0.0,1.0
0.03338762745261192,0.030720360577106476,-0.0035944366827607155,-0.04966610670089722,0.0,1.0
0.03400203213095665,-0.16434986889362335,-0.004587758798152208,0.24188058078289032,1.0,1.0
0.030715037137269974,0.030837316066026688,0.0002498529211152345,-0.05224590748548508,0.0,1.0
0.031331781297922134,-0.1642882227897644,-0.0007950652507133782,0.2405158430337906,1.0,1.0
0.0280460175126791,0.03084508329629898,0.004015251528471708,-0.05241776630282402,1.0,1.0
0.028662919998168945,0.22590923309326172,0.002966896165162325,-0.3438311517238617,0.0,1.0
0.03318110480904579,0.03074519895017147,-0.00390972662717104,-0.050214122980833054,0.0,1.0
0.03379600867629051,-0.1643204689025879,-0.004914009477943182,0.24123269319534302,1.0,1.0
0.030509598553180695,0.030871327966451645,-8.935548976296559e-05,-0.0529961884021759,0.0,1.0
0.031127026304602623,-0.16424934566020966,-0.0011492791818454862,0.23965854942798615,1.0,1.0
0.027842039242386818,0.030889008194208145,0.0036438917741179466,-0.05338667333126068,1.0,1.0
0.02845981903374195,0.22595852613449097,0.0025761581491678953,-0.3449177145957947,0.0,1.0
0.03297898918390274,0.030800018459558487,-0.004322195891290903,-0.05142352730035782,0.0,1.0
0.03359498828649521,-0.16425968706607819,-0.005350666120648384,0.23989258706569672,1.0,1.0
0.03030979633331299,0.03093828447163105,-0.0005528146284632385,-0.05447327718138695,0.0,1.0
0.030928561463952065,-0.16417573392391205,-0.0016422802582383156,0.2380351722240448,1.0,1.0
0.027645045891404152,0.030969638377428055,0.003118423279374838,-0.05516531690955162,0.0,1.0
0.02826443873345852,-0.1641968935728073,0.0020151170901954174,0.23849986493587494,1.0,1.0
0.02498050220310688,0.030896218493580818,0.006785114295780659,-0.053546756505966187,1.0,1.0
0.025598425418138504,0.22592023015022278,0.005714179016649723,-0.34408122301101685,0.0,1.0
0.03011683002114296,0.030717454850673676,-0.0011674454435706139,-0.04960189014673233,0.0,1.0
0.03073118068277836,-0.16438773274421692,-0.002159483265131712,0.24271246790885925,1.0,1.0
0.027443425729870796,0.030764993280172348,0.0026947660371661186,-0.05065083131194115,1.0,1.0
0.028058724477887154,0.22584819793701172,0.001681749476119876,-0.342482328414917,0.0,1.0
0.032575689256191254,0.030702363699674606,-0.00516789685934782,-0.04926954209804535,0.0,1.0
0.03318973630666733,-0.16434510052204132,-0.006153287831693888,0.2417784035205841,1.0,1.0
0.029902834445238113,0.030864199623465538,-0.0013177198125049472,-0.052839070558547974,0.0,1.0
0.03052011877298355,-0.1642388254404068,-0.0023745012003928423,0.2394278198480606,1.0,1.0
0.02723534218966961,0.030916959047317505,0.002414054935798049,-0.05400315299630165,0.0,1.0
0.02785368077456951,-0.1642395257949829,0.0013339919969439507,0.239440456032753,1.0,1.0
0.024568889290094376,0.03086334653198719,0.00612280098721385,-0.05282140150666237,1.0,1.0
0.02518615685403347,0.22589696943759918,0.0050663729198277,-0.34356626868247986,0.0,1.0
0.029704095795750618,0.030703311786055565,-0.0018049521604552865,-0.04929002374410629,0.0,1.0
0.030318163335323334,-0.16439270973205566,-0.0027907525654882193,0.24282288551330566,1.0,1.0
